Route,Location,URL,Avg Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude,Region
Satan's Little Helper,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793703/satans-little-helper,2.4,Sport,5.8,1,60.0,47.0277,-119.96448999999998,Central
Satan's Wagon,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793707/satans-wagon,2.9,Sport,5.10b,1,60.0,47.0277,-119.96448999999998,Central
Desert Shield,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105947340/desert-shield,2.6,Sport,5.9,1,50.0,47.0277,-119.96448999999998,Central
The Uprising,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105996964/the-uprising,2.6,Sport,5.8,1,50.0,47.0277,-119.96448999999998,Central
Blood Blister,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106260070/blood-blister,2.4,Sport,5.10a,1,60.0,47.0277,-119.96448999999998,Central
Notch Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106279516/notch-route,2.1,Sport,5.6,1,35.0,47.0277,-119.96448999999998,Central
Jesus Saves,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106279526/jesus-saves,2.4,Sport,5.8,1,45.0,47.0277,-119.96448999999998,Central
Shake It Don't Break It,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106399185/shake-it-dont-break-it,2.0,Sport,5.5,1,60.0,47.0277,-119.96448999999998,Central
Criminally Insane,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106402120/criminally-insane,2.2,Sport,5.10a,1,50.0,47.0277,-119.96448999999998,Central
Feather in My Cap,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403086/feather-in-my-cap,1.9,Sport,5.6,1,50.0,47.0277,-119.96448999999998,Central
Ruffled Feathers,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403103/ruffled-feathers,1.9,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Where the Sidewalk Ends,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403110/where-the-sidewalk-ends,2.1,Sport,5.1,1,45.0,47.0277,-119.96448999999998,Central
Beckey Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403137/beckey-route,2.1,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Get the Pever Fever,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403148/get-the-pever-fever,1.8,Sport,5.5,1,40.0,47.0277,-119.96448999999998,Central
Mandatory Suicide,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106403153/mandatory-suicide,2.3,Sport,5.4,1,50.0,47.0277,-119.96448999999998,Central
Shin Smasher,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106515723/shin-smasher,1.6,Sport,5.8+,1,50.0,47.0277,-119.96448999999998,Central
Suites of the Carrion Kind,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106578563/suites-of-the-carrion-kind,2.4,Sport,5.10a,1,50.0,47.0277,-119.96448999999998,Central
Altar of Sacrifice,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582612/altar-of-sacrifice,2.1,Sport,5.7,1,40.0,47.0277,-119.96448999999998,Central
Forty Bucks in the Dark,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108078697/forty-bucks-in-the-dark,2.1,"Trad, Sport",5,1,45.0,47.0277,-119.96448999999998,Central
Bird Brain,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112180165/bird-brain,2.1,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Night Owl,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112180192/night-owl,1.8,Sport,5.7,1,50.0,47.0277,-119.96448999999998,Central
Canary Corner,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112910300/canary-corner,2.1,Sport,5.8,1,50.0,47.0277,-119.96448999999998,Central
Basalt 'n' Peppa,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114439033/basalt-n-peppa,2.2,Sport,5.9+,1,50.0,47.0277,-119.96448999999998,Central
The Dirty Bird,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/115402383/the-dirty-bird,1.7,Sport,5.6,1,40.0,47.0277,-119.96448999999998,Central
Friend of the Devil,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116976473/friend-of-the-devil,2.1,Sport,5.7+,1,55.0,47.0277,-119.96448999999998,Central
Sad Crack,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116999527/sad-crack,0.9,Trad,5.5,1,,47.0277,-119.96448999999998,Central
Porthole,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117743869/porthole,1.3,Trad,5.8 PG13,1,,47.0277,-119.96448999999998,Central
Unknown,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118133174/unknown,2.0,TR,5.10b/c,1,25.0,47.0277,-119.96448999999998,Central
Whack Crack,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/120436787/whack-crack,2.0,Trad,5.4,1,40.0,47.0277,-119.96448999999998,Central
Medicine Man,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793695/medicine-man,2.4,Sport,5.10a,1,,47.0277,-119.96501,Central
Dance of the Shaman,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105793700/dance-of-the-shaman,2.5,Sport,5.10b,1,,47.0277,-119.96501,Central
Don Coyote,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106020957/don-coyote,2.5,Sport,5.8,1,40.0,47.0277,-119.96501,Central
Windwalker,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106502546/windwalker,1.7,Sport,5.10a,1,,47.0277,-119.96501,Central
Ring Pin Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106502557/ring-pin-crack,1.3,Trad,5.6,1,40.0,47.0277,-119.96501,Central
Hardening of the Arteries,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106515742/hardening-of-the-arteries,2.7,Sport,5.10c,1,35.0,47.0277,-119.96501,Central
So Funny I Forgot To Laugh,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582636/so-funny-i-forgot-to-laugh,1.9,Sport,5.9,1,30.0,47.0277,-119.96501,Central
Fraggled Pickle,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582645/fraggled-pickle,1.3,Sport,5.10a,1,35.0,47.0277,-119.96501,Central
Wish I Were Skiing at 49 Degrees North,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582654/wish-i-were-skiing-at-49-degrees-north,2.2,Sport,5.10b,1,40.0,47.0277,-119.96501,Central
Updrafts to Heaven,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106582665/updrafts-to-heaven,2.7,Sport,5.4,1,45.0,47.0277,-119.96501,Central
Me Too,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106597507/me-too,1.7,Sport,5.9,1,30.0,47.0277,-119.96501,Central
Arterial Bypass,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106712419/arterial-bypass,1.7,Sport,5.8,1,35.0,47.0277,-119.96501,Central
Swashbuckling 101,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107522256/swashbuckling-101,1.8,Trad,5.7,1,30.0,47.0277,-119.96501,Central
Nightbird,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108024079/nightbird,2.1,Sport,5.10a,1,60.0,47.0277,-119.96501,Central
Old Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108772406/old-crack,1.5,Trad,5.7,1,,47.0277,-119.96501,Central
Photo Opportunity,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112319290/photo-opportunity,1.5,Sport,5.10a,1,35.0,47.0277,-119.96501,Central
Waiting for the Sun,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112910284/waiting-for-the-sun,1.7,Sport,5.9+,1,35.0,47.0277,-119.96501,Central
Don't Fear the Whipper,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116652562/dont-fear-the-whipper,1.9,Sport,5.10-,1,30.0,47.0277,-119.96501,Central
Breakfast Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117272443/breakfast-crack,1.2,Sport,5.8,1,40.0,47.0277,-119.96501,Central
Breakfast Beer,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117272457/breakfast-beer,1.8,Sport,5.9,1,40.0,47.0277,-119.96501,Central
One More,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117272524/one-more,2.0,Sport,5.8,1,,47.0277,-119.96501,Central
The Mirror,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117743951/the-mirror,0.8,Trad,5.8 R,1,,47.0277,-119.96501,Central
Chicken Fingers,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118132954/chicken-fingers,2.1,Sport,5.10d,1,30.0,47.0277,-119.96501,Central
The Feathers Traverse,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119127619/the-feathers-traverse,3.0,Trad,5.6 R,1,500.0,47.0277,-119.96501,Central
The Birds and the Knees,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119671500/the-birds-and-the-knees,3.0,Trad,5.8,1,40.0,47.0277,-119.96501,Central
The Feathers Reverse Traverse,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/120412910/the-feathers-reverse-traverse,3.0,Trad,5.9 R,5,500.0,47.0277,-119.96501,Central
Simba's Fury,Highway Rock > **Bouldering at Vantage > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117261762/simbas-fury,1.0,"Trad, Boulder",Easy 5th V-easy R,1,25.0,47.02268,-119.96488000000001,Central
Jihad,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105946942/jihad,3.5,Trad,5.11a,1,85.0,47.02541,-119.97522,Central
Desert Dessert,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105947062/desert-dessert,3.7,Sport,5.10d,1,80.0,47.02541,-119.97522,Central
Slim And Curvy,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972103/slim-and-curvy,2.6,Trad,5.10b,1,60.0,47.02541,-119.97522,Central
Human Sacrifice,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972111/human-sacrifice,3.5,Trad,5.10c,1,80.0,47.02541,-119.97522,Central
Savage Heart,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972116/savage-heart,2.5,Sport,5.10b,1,80.0,47.02541,-119.97522,Central
Sex Party,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972125/sex-party,3.1,Trad,5.10a,1,80.0,47.02541,-119.97522,Central
Lingerie,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972134/lingerie,3.3,Trad,5.11+,1,80.0,47.02541,-119.97522,Central
Focal Point,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/105972140/focal-point,3.5,Sport,5.11b,1,,47.02541,-119.97522,Central
Left Out,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107378038/left-out,2.4,Trad,5.9,1,70.0,47.02541,-119.97522,Central
Crazy Fingers,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107380958/crazy-fingers,2.4,Trad,5.10a,1,50.0,47.02541,-119.97522,Central
Freak of the Week,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107390425/freak-of-the-week,3.2,Trad,5.11a,1,60.0,47.02541,-119.97522,Central
Sleeping with the Fish,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107390436/sleeping-with-the-fish,2.0,Trad,5.7,1,55.0,47.02541,-119.97522,Central
Wide and Curvy,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107513201/wide-and-curvy,2.2,Trad,5.9,1,60.0,47.02541,-119.97522,Central
272,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107514055/272,2.6,Trad,5.8,1,40.0,47.02541,-119.97522,Central
Theresa's Lingere,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107514061/theresas-lingere,2.7,Trad,5.9,1,40.0,47.02541,-119.97522,Central
The Elders,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107514177/the-elders,2.7,Trad,5.10a,1,,47.02541,-119.97522,Central
Electric Shock,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108350190/electric-shock,2.5,Trad,5.10d,1,,47.02541,-119.97522,Central
After Shock,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/109609182/after-shock,3.9,Sport,5.11c,1,60.0,47.02541,-119.97522,Central
Gotta Be Smokin',Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110080440/gotta-be-smokin,1.3,Trad,5.10-,1,80.0,47.02541,-119.97522,Central
Butcher of Baghdad,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110390759/butcher-of-baghdad,3.8,Sport,5.11d,1,60.0,47.02541,-119.97522,Central
Blinded by the Light,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110390772/blinded-by-the-light,2.9,Sport,5.11a,1,60.0,47.02541,-119.97522,Central
Appo's Last Revenge,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112546842/appos-last-revenge,2.5,Trad,5.11a,1,90.0,47.02541,-119.97522,Central
MF Snowboarder,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/113688206/mf-snowboarder,2.5,Trad,5.10a,1,60.0,47.02541,-119.97522,Central
Peeing with a Boner,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/113904069/peeing-with-a-boner,3.3,Sport,5.12b,1,60.0,47.02541,-119.97522,Central
Coup d' Grace,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114272894/coup-d-grace,2.0,Trad,5.11a,1,80.0,47.02541,-119.97522,Central
Little Provocation,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114273093/little-provocation,0.0,Trad,5.9- PG13,1,60.0,47.02541,-119.97522,Central
Creeping Death,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114389314/creeping-death,2.0,Sport,5.11b,1,70.0,47.02541,-119.97522,Central
Throwing Stones,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/115327989/throwing-stones,1.5,Trad,5.9,1,60.0,47.02541,-119.97522,Central
Small but Perky,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118313961/small-but-perky,3.3,Trad,5.11a,1,75.0,47.02541,-119.97522,Central
Mr. Gorbonifar,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119007589/mr-gorbonifar,4.0,Trad,5.10a/b,1,80.0,47.02541,-119.97522,Central
Fist for Pleasure and for Profit,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631109/fist-for-pleasure-and-for-profit,3.0,Trad,5.9,1,80.0,47.02541,-119.97522,Central
Superfund,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631194/superfund,2.7,Trad,5.9,1,80.0,47.02541,-119.97522,Central
Merry Bullman,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631305/merry-bullman,2.5,Trad,5.11a PG13,1,70.0,47.02541,-119.97522,Central
Drag Queens in Spandex,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631330/drag-queens-in-spandex,3.0,Trad,5.11- R,1,70.0,47.02541,-119.97522,Central
Spank my Ass and call me Sally,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631401/spank-my-ass-and-call-me-sally,1.0,Trad,5.11a PG13,1,80.0,47.02541,-119.97522,Central
Closet Catamite,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/119631425/closet-catamite,1.0,Trad,5.11a PG13,1,80.0,47.02541,-119.97522,Central
Tower of Babble,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121132222/tower-of-babble,2.5,Trad,5.10a,1,80.0,47.02541,-119.97522,Central
Angel with Armor,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121465841/angel-with-armor,3.0,Trad,5.11a R,1,70.0,47.02541,-119.97522,Central
Protein Infusion,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121465904/protein-infusion,2.0,Trad,5.10c PG13,1,70.0,47.02541,-119.97522,Central
Did Lewinsky Swallow?,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121465961/did-lewinsky-swallow,2.3,Trad,5.8,1,60.0,47.02541,-119.97522,Central
Never enough Stew,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121466064/never-enough-stew,2.0,Trad,5.10b,1,80.0,47.02541,-119.97522,Central
Kashmir,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121507445/kashmir,2.0,Sport,5.1,1,80.0,47.02541,-119.97522,Central
Psycho Babble,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121507499/psycho-babble,0.0,Trad,5.10a,1,80.0,47.02541,-119.97522,Central
Haboob,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/121657967/haboob,2.0,Trad,5.1,1,80.0,47.02541,-119.97522,Central
The Jagged Edge,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106432488/the-jagged-edge,2.3,Sport,5.7,1,50.0,47.02333,-119.96875,Central
Orangekist,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106432502/orangekist,2.1,Sport,5.8,1,35.0,47.02333,-119.96875,Central
Scissor Man,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106515771/scissor-man,2.1,Sport,5.9,1,45.0,47.02333,-119.96875,Central
Secret Passage,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/106515784/secret-passage,2.0,Sport,5.10b,1,55.0,47.02333,-119.96875,Central
Table Dance,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107572933/table-dance,2.1,Sport,5.9,1,45.0,47.02333,-119.96875,Central
Group Therapy,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107572942/group-therapy,2.7,Sport,5.10b,1,60.0,47.02333,-119.96875,Central
Starless in Vantage,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/107572955/starless-in-vantage,2.1,Sport,5.9,1,65.0,47.02333,-119.96875,Central
Edge of Mistakes,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/108810934/edge-of-mistakes,1.9,Trad,5.6,1,50.0,47.02333,-119.96875,Central
Tank Target,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110438047/tank-target,1.3,Trad,5.8,1,50.0,47.02333,-119.96875,Central
I'm Alright,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110438217/im-alright,0.9,Trad,5.7,1,50.0,47.02333,-119.96875,Central
Take Control,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/110438222/take-control,0.9,Trad,5.7,1,40.0,47.02333,-119.96875,Central
Little Book of Lies,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/111052069/little-book-of-lies,2.4,Sport,5.8+,1,65.0,47.02333,-119.96875,Central
Lady in Red,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/111744504/lady-in-red,1.6,Trad,5.7,1,50.0,47.02333,-119.96875,Central
La Llarona,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/111744549/la-llarona,1.0,Trad,5.7,1,50.0,47.02333,-119.96875,Central
Jeff's Crack,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/111744618/jeffs-crack,2.1,Trad,5.8-,1,50.0,47.02333,-119.96875,Central
Unfinished Business,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/111874937/unfinished-business,1.5,Sport,5.8,1,40.0,47.02333,-119.96875,Central
Mr. Nice Guy,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/112570996/mr-nice-guy,2.5,Sport,5.10a,1,50.0,47.02333,-119.96875,Central
Burning Down the House,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/113893899/burning-down-the-house,2.9,Sport,5.10a,1,50.0,47.02333,-119.96875,Central
One of These Days (Mohel With a Dull Knife),Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/114191911/one-of-these-days-mohel-with-a-dull-knife,2.7,Trad,5.9,1,50.0,47.02333,-119.96875,Central
Anarchist's Cookbook,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116976517/anarchists-cookbook,1.8,Sport,5.10a,1,65.0,47.02333,-119.96875,Central
Vehicular Basalt,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/116976626/vehicular-basalt,2.0,Sport,5.8,1,50.0,47.02333,-119.96875,Central
Neon Indian,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117283846/neon-indian,3.0,Sport,5.9,1,55.0,47.02333,-119.96875,Central
Chocolate Orange,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117312535/chocolate-orange,2.8,Sport,5.9,1,80.0,47.02333,-119.96875,Central
Ill-Advised Crossover,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117524245/ill-advised-crossover,1.3,Sport,5.7+,1,50.0,47.02333,-119.96875,Central
Somewhere On Earth,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/117525768/somewhere-on-earth,1.9,Trad,5.7,1,45.0,47.02333,-119.96875,Central
Ananathema,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118605729/ananathema,3.5,Trad,5.9,1,80.0,47.02333,-119.96875,Central
The Beautiful Serpent Lied to Me,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118953022/the-beautiful-serpent-lied-to-me,2.0,Trad,5.9,1,50.0,47.02333,-119.96875,Central
Love in the Time of COVID,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/118953045/love-in-the-time-of-covid,3.5,Trad,5.10a,1,50.0,47.02333,-119.96875,Central
