name,location,url,rating,type,grade,pitches,length,lat,lon,region,yds,protection,ticks,votes,sub_area,area
Satan's Little Helper,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793703/satans-little-helper,2.4,Sport,5.8,1.0,60.0,47.0277,-119.96448999999998,Central,8.0,,407,118,The North Side , The Feathers 
Satan's Wagon,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793707/satans-wagon,2.9,Sport,5.10b,1.0,60.0,47.0277,-119.96448999999998,Central,10.0,,441,164,The North Side , The Feathers 
Desert Shield,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105947340/desert-shield,2.6,Sport,5.9,1.0,50.0,47.0277,-119.96448999999998,Central,9.0,,445,136,The North Side , The Feathers 
The Uprising,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105996964/the-uprising,2.6,Sport,5.8,1.0,50.0,47.0277,-119.96448999999998,Central,8.0,,646,165,The North Side , The Feathers 
Blood Blister,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106260070/blood-blister,2.4,Sport,5.10a,1.0,60.0,47.0277,-119.96448999999998,Central,10.0,,371,93,The North Side , The Feathers 
Notch Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106279516/notch-route,2.1,Sport,5.6,1.0,35.0,47.0277,-119.96448999999998,Central,6.0,,285,62,The North Side , The Feathers 
Jesus Saves,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106279526/jesus-saves,2.4,Sport,5.8,1.0,45.0,47.0277,-119.96448999999998,Central,8.0,,440,100,The North Side , The Feathers 
Shake It Don't Break It,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106399185/shake-it-dont-break-it,2.0,Sport,5.5,1.0,60.0,47.0277,-119.96448999999998,Central,5.0,,415,80,The North Side , The Feathers 
Criminally Insane,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106402120/criminally-insane,2.2,Sport,5.10a,1.0,50.0,47.0277,-119.96448999999998,Central,10.0,,129,36,The North Side , The Feathers 
Feather in My Cap,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403086/feather-in-my-cap,1.9,Sport,5.6,1.0,50.0,47.0277,-119.96448999999998,Central,6.0,,365,62,The North Side , The Feathers 
Ruffled Feathers,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403103/ruffled-feathers,1.9,Sport,5.7,1.0,50.0,47.0277,-119.96448999999998,Central,7.0,,373,65,The North Side , The Feathers 
Where the Sidewalk Ends,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403110/where-the-sidewalk-ends,2.1,Sport,5.1,1.0,45.0,47.0277,-119.96448999999998,Central,1.0,,419,75,The North Side , The Feathers 
Beckey Route,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403137/beckey-route,2.1,Sport,5.7,1.0,50.0,47.0277,-119.96448999999998,Central,7.0,,464,93,The North Side , The Feathers 
Get the Pever Fever,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403148/get-the-pever-fever,1.8,Sport,5.5,1.0,40.0,47.0277,-119.96448999999998,Central,5.0,,256,49,The North Side , The Feathers 
Mandatory Suicide,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106403153/mandatory-suicide,2.3,Sport,5.4,1.0,50.0,47.0277,-119.96448999999998,Central,4.0,,541,97,The North Side , The Feathers 
Shin Smasher,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106515723/shin-smasher,1.6,Sport,5.8+,1.0,50.0,47.0277,-119.96448999999998,Central,8.0,,118,32,The North Side , The Feathers 
Suites of the Carrion Kind,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106578563/suites-of-the-carrion-kind,2.4,Sport,5.10a,1.0,50.0,47.0277,-119.96448999999998,Central,10.0,,70,21,The North Side , The Feathers 
Altar of Sacrifice,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106582612/altar-of-sacrifice,2.1,Sport,5.7,1.0,40.0,47.0277,-119.96448999999998,Central,7.0,,296,66,The North Side , The Feathers 
Forty Bucks in the Dark,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/108078697/forty-bucks-in-the-dark,2.1,Trad,5,1.0,45.0,47.0277,-119.96448999999998,Central,,,278,49,The North Side , The Feathers 
Bird Brain,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112180165/bird-brain,2.1,Sport,5.7,1.0,50.0,47.0277,-119.96448999999998,Central,7.0,,263,42,The North Side , The Feathers 
Night Owl,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112180192/night-owl,1.8,Sport,5.7,1.0,50.0,47.0277,-119.96448999999998,Central,7.0,,196,30,The North Side , The Feathers 
Canary Corner,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112910300/canary-corner,2.1,Sport,5.8,1.0,50.0,47.0277,-119.96448999999998,Central,8.0,,164,28,The North Side , The Feathers 
Basalt 'n' Peppa,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/114439033/basalt-n-peppa,2.2,Sport,5.9+,1.0,50.0,47.0277,-119.96448999999998,Central,9.0,,185,37,The North Side , The Feathers 
The Dirty Bird,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/115402383/the-dirty-bird,1.7,Sport,5.6,1.0,40.0,47.0277,-119.96448999999998,Central,6.0,,209,24,The North Side , The Feathers 
Friend of the Devil,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/116976473/friend-of-the-devil,2.1,Sport,5.7+,1.0,55.0,47.0277,-119.96448999999998,Central,7.0,,174,34,The North Side , The Feathers 
Sad Crack,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/116999527/sad-crack,0.9,Trad,5.5,1.0,,47.0277,-119.96448999999998,Central,5.0,,47,11,The North Side , The Feathers 
Porthole,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117743869/porthole,1.3,Trad,5.8 PG13,1.0,,47.0277,-119.96448999999998,Central,8.0,PG13,5,3,The North Side , The Feathers 
Whack Crack,The North Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/120436787/whack-crack,2.0,Trad,5.4,1.0,40.0,47.0277,-119.96448999999998,Central,4.0,,7,1,The North Side , The Feathers 
Medicine Man,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793695/medicine-man,2.4,Sport,5.10a,1.0,,47.0277,-119.96501,Central,10.0,,477,133,The South Side , The Feathers 
Dance of the Shaman,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105793700/dance-of-the-shaman,2.5,Sport,5.10b,1.0,,47.0277,-119.96501,Central,10.0,,344,118,The South Side , The Feathers 
Don Coyote,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106020957/don-coyote,2.5,Sport,5.8,1.0,40.0,47.0277,-119.96501,Central,8.0,,977,222,The South Side , The Feathers 
Windwalker,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106502546/windwalker,1.7,Sport,5.10a,1.0,,47.0277,-119.96501,Central,10.0,,187,52,The South Side , The Feathers 
Ring Pin Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106502557/ring-pin-crack,1.3,Trad,5.6,1.0,40.0,47.0277,-119.96501,Central,6.0,,56,16,The South Side , The Feathers 
Hardening of the Arteries,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106515742/hardening-of-the-arteries,2.7,Sport,5.10c,1.0,35.0,47.0277,-119.96501,Central,10.0,,352,115,The South Side , The Feathers 
So Funny I Forgot To Laugh,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106582636/so-funny-i-forgot-to-laugh,1.9,Sport,5.9,1.0,30.0,47.0277,-119.96501,Central,9.0,,367,93,The South Side , The Feathers 
Fraggled Pickle,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106582645/fraggled-pickle,1.3,Sport,5.10a,1.0,35.0,47.0277,-119.96501,Central,10.0,,94,31,The South Side , The Feathers 
Wish I Were Skiing at 49 Degrees North,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106582654/wish-i-were-skiing-at-49-degrees-north,2.2,Sport,5.10b,1.0,40.0,47.0277,-119.96501,Central,10.0,,172,52,The South Side , The Feathers 
Updrafts to Heaven,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106582665/updrafts-to-heaven,2.7,Sport,5.4,1.0,45.0,47.0277,-119.96501,Central,4.0,,406,110,The South Side , The Feathers 
Me Too,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106597507/me-too,1.7,Sport,5.9,1.0,30.0,47.0277,-119.96501,Central,9.0,,263,69,The South Side , The Feathers 
Arterial Bypass,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106712419/arterial-bypass,1.7,Sport,5.8,1.0,35.0,47.0277,-119.96501,Central,8.0,,413,87,The South Side , The Feathers 
Swashbuckling 101,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107522256/swashbuckling-101,1.8,Trad,5.7,1.0,30.0,47.0277,-119.96501,Central,7.0,,17,4,The South Side , The Feathers 
Nightbird,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/108024079/nightbird,2.1,Sport,5.10a,1.0,60.0,47.0277,-119.96501,Central,10.0,,202,58,The South Side , The Feathers 
Old Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/108772406/old-crack,1.5,Trad,5.7,1.0,,47.0277,-119.96501,Central,7.0,,55,18,The South Side , The Feathers 
Photo Opportunity,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112319290/photo-opportunity,1.5,Sport,5.10a,1.0,35.0,47.0277,-119.96501,Central,10.0,,47,14,The South Side , The Feathers 
Waiting for the Sun,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112910284/waiting-for-the-sun,1.7,Sport,5.9+,1.0,35.0,47.0277,-119.96501,Central,9.0,,123,36,The South Side , The Feathers 
Don't Fear the Whipper,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/116652562/dont-fear-the-whipper,1.9,Sport,5.10-,1.0,30.0,47.0277,-119.96501,Central,10.0,,76,16,The South Side , The Feathers 
Breakfast Crack,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117272443/breakfast-crack,1.2,Sport,5.8,1.0,40.0,47.0277,-119.96501,Central,8.0,,96,11,The South Side , The Feathers 
Breakfast Beer,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117272457/breakfast-beer,1.8,Sport,5.9,1.0,40.0,47.0277,-119.96501,Central,9.0,,113,22,The South Side , The Feathers 
One More,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117272524/one-more,2.0,Sport,5.8,1.0,,47.0277,-119.96501,Central,8.0,,38,8,The South Side , The Feathers 
The Mirror,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117743951/the-mirror,0.8,Trad,5.8 R,1.0,,47.0277,-119.96501,Central,8.0,R,5,4,The South Side , The Feathers 
Chicken Fingers,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/118132954/chicken-fingers,2.1,Sport,5.10d,1.0,30.0,47.0277,-119.96501,Central,10.0,,48,20,The South Side , The Feathers 
The Feathers Traverse,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119127619/the-feathers-traverse,3.0,Trad,5.6 R,1.0,500.0,47.0277,-119.96501,Central,6.0,R,1,5,The South Side , The Feathers 
The Birds and the Knees,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119671500/the-birds-and-the-knees,3.0,Trad,5.8,1.0,40.0,47.0277,-119.96501,Central,8.0,,7,2,The South Side , The Feathers 
The Feathers Reverse Traverse,The South Side > The Feathers > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/120412910/the-feathers-reverse-traverse,3.0,Trad,5.9 R,5.0,500.0,47.0277,-119.96501,Central,9.0,R,1,1,The South Side , The Feathers 
Simba's Fury,Highway Rock > **Bouldering at Vantage > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/117261762/simbas-fury,1.0,Trad,Easy 5th V-easy R,1.0,25.0,47.02268,-119.96488,Central,,R,2,4,Highway Rock , **Bouldering at Vantage 
Jihad,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105946942/jihad,3.5,Trad,5.11a,1.0,85.0,47.02541,-119.97522,Central,11.0,,95,57,Middle East Wall , Frenchman Coulee 
Desert Dessert,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105947062/desert-dessert,3.7,Sport,5.10d,1.0,80.0,47.02541,-119.97522,Central,10.0,,171,87,Middle East Wall , Frenchman Coulee 
Slim And Curvy,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972103/slim-and-curvy,2.6,Trad,5.10b,1.0,60.0,47.02541,-119.97522,Central,10.0,,60,40,Middle East Wall , Frenchman Coulee 
Human Sacrifice,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972111/human-sacrifice,3.5,Trad,5.10c,1.0,80.0,47.02541,-119.97522,Central,10.0,,210,97,Middle East Wall , Frenchman Coulee 
Savage Heart,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972116/savage-heart,2.5,Sport,5.10b,1.0,80.0,47.02541,-119.97522,Central,10.0,,128,49,Middle East Wall , Frenchman Coulee 
Sex Party,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972125/sex-party,3.1,Trad,5.10a,1.0,80.0,47.02541,-119.97522,Central,10.0,,248,101,Middle East Wall , Frenchman Coulee 
Lingerie,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972134/lingerie,3.3,Trad,5.11+,1.0,80.0,47.02541,-119.97522,Central,11.0,,88,42,Middle East Wall , Frenchman Coulee 
Focal Point,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/105972140/focal-point,3.5,Sport,5.11b,1.0,,47.02541,-119.97522,Central,11.0,,17,10,Middle East Wall , Frenchman Coulee 
Left Out,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107378038/left-out,2.4,Trad,5.9,1.0,70.0,47.02541,-119.97522,Central,9.0,,75,30,Middle East Wall , Frenchman Coulee 
Crazy Fingers,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107380958/crazy-fingers,2.4,Trad,5.10a,1.0,50.0,47.02541,-119.97522,Central,10.0,,17,9,Middle East Wall , Frenchman Coulee 
Freak of the Week,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107390425/freak-of-the-week,3.2,Trad,5.11a,1.0,60.0,47.02541,-119.97522,Central,11.0,,9,5,Middle East Wall , Frenchman Coulee 
Sleeping with the Fish,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107390436/sleeping-with-the-fish,2.0,Trad,5.7,1.0,55.0,47.02541,-119.97522,Central,7.0,,6,3,Middle East Wall , Frenchman Coulee 
Wide and Curvy,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107513201/wide-and-curvy,2.2,Trad,5.9,1.0,60.0,47.02541,-119.97522,Central,9.0,,8,6,Middle East Wall , Frenchman Coulee 
272,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107514055/272,2.6,Trad,5.8,1.0,40.0,47.02541,-119.97522,Central,8.0,,114,33,Middle East Wall , Frenchman Coulee 
Theresa's Lingere,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107514061/theresas-lingere,2.7,Trad,5.9,1.0,40.0,47.02541,-119.97522,Central,9.0,,117,42,Middle East Wall , Frenchman Coulee 
The Elders,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/107514177/the-elders,2.7,Trad,5.10a,1.0,,47.02541,-119.97522,Central,10.0,,137,45,Middle East Wall , Frenchman Coulee 
Electric Shock,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/108350190/electric-shock,2.5,Trad,5.10d,1.0,,47.02541,-119.97522,Central,10.0,,5,6,Middle East Wall , Frenchman Coulee 
After Shock,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/109609182/after-shock,3.9,Sport,5.11c,1.0,60.0,47.02541,-119.97522,Central,11.0,,23,18,Middle East Wall , Frenchman Coulee 
Gotta Be Smokin',Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/110080440/gotta-be-smokin,1.3,Trad,5.10-,1.0,80.0,47.02541,-119.97522,Central,10.0,,9,10,Middle East Wall , Frenchman Coulee 
Butcher of Baghdad,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/110390759/butcher-of-baghdad,3.8,Sport,5.11d,1.0,60.0,47.02541,-119.97522,Central,11.0,,8,11,Middle East Wall , Frenchman Coulee 
Blinded by the Light,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/110390772/blinded-by-the-light,2.9,Sport,5.11a,1.0,60.0,47.02541,-119.97522,Central,11.0,,38,17,Middle East Wall , Frenchman Coulee 
Appo's Last Revenge,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/112546842/appos-last-revenge,2.5,Trad,5.11a,1.0,90.0,47.02541,-119.97522,Central,11.0,,1,4,Middle East Wall , Frenchman Coulee 
MF Snowboarder,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/113688206/mf-snowboarder,2.5,Trad,5.10a,1.0,60.0,47.02541,-119.97522,Central,10.0,,35,19,Middle East Wall , Frenchman Coulee 
Peeing with a Boner,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/113904069/peeing-with-a-boner,3.3,Sport,5.12b,1.0,60.0,47.02541,-119.97522,Central,12.0,,18,9,Middle East Wall , Frenchman Coulee 
Coup d' Grace,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/114272894/coup-d-grace,2.0,Trad,5.11a,1.0,80.0,47.02541,-119.97522,Central,11.0,,1,1,Middle East Wall , Frenchman Coulee 
Little Provocation,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/114273093/little-provocation,0.0,Trad,5.9- PG13,1.0,60.0,47.02541,-119.97522,Central,9.0,PG13,0,1,Middle East Wall , Frenchman Coulee 
Creeping Death,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/114389314/creeping-death,2.0,Sport,5.11b,1.0,70.0,47.02541,-119.97522,Central,11.0,,4,6,Middle East Wall , Frenchman Coulee 
Throwing Stones,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/115327989/throwing-stones,1.5,Trad,5.9,1.0,60.0,47.02541,-119.97522,Central,9.0,,3,2,Middle East Wall , Frenchman Coulee 
Small but Perky,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/118313961/small-but-perky,3.3,Trad,5.11a,1.0,75.0,47.02541,-119.97522,Central,11.0,,1,3,Middle East Wall , Frenchman Coulee 
Mr. Gorbonifar,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119007589/mr-gorbonifar,4.0,Trad,5.10a/b,1.0,80.0,47.02541,-119.97522,Central,10.0,,4,4,Middle East Wall , Frenchman Coulee 
Fist for Pleasure and for Profit,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631109/fist-for-pleasure-and-for-profit,3.0,Trad,5.9,1.0,80.0,47.02541,-119.97522,Central,9.0,,2,4,Middle East Wall , Frenchman Coulee 
Superfund,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631194/superfund,2.7,Trad,5.9,1.0,80.0,47.02541,-119.97522,Central,9.0,,1,3,Middle East Wall , Frenchman Coulee 
Merry Bullman,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631305/merry-bullman,2.5,Trad,5.11a PG13,1.0,70.0,47.02541,-119.97522,Central,11.0,PG13,0,2,Middle East Wall , Frenchman Coulee 
Drag Queens in Spandex,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631330/drag-queens-in-spandex,3.0,Trad,5.11- R,1.0,70.0,47.02541,-119.97522,Central,11.0,R,1,3,Middle East Wall , Frenchman Coulee 
Spank my Ass and call me Sally,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631401/spank-my-ass-and-call-me-sally,1.0,Trad,5.11a PG13,1.0,80.0,47.02541,-119.97522,Central,11.0,PG13,0,1,Middle East Wall , Frenchman Coulee 
Closet Catamite,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/119631425/closet-catamite,1.0,Trad,5.11a PG13,1.0,80.0,47.02541,-119.97522,Central,11.0,PG13,0,1,Middle East Wall , Frenchman Coulee 
Tower of Babble,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121132222/tower-of-babble,2.5,Trad,5.10a,1.0,80.0,47.02541,-119.97522,Central,10.0,,3,2,Middle East Wall , Frenchman Coulee 
Angel with Armor,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121465841/angel-with-armor,3.0,Trad,5.11a R,1.0,70.0,47.02541,-119.97522,Central,11.0,R,1,2,Middle East Wall , Frenchman Coulee 
Protein Infusion,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121465904/protein-infusion,2.0,Trad,5.10c PG13,1.0,70.0,47.02541,-119.97522,Central,10.0,PG13,1,1,Middle East Wall , Frenchman Coulee 
Did Lewinsky Swallow?,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121465961/did-lewinsky-swallow,2.3,Trad,5.8,1.0,60.0,47.02541,-119.97522,Central,8.0,,1,3,Middle East Wall , Frenchman Coulee 
Never enough Stew,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121466064/never-enough-stew,2.0,Trad,5.10b,1.0,80.0,47.02541,-119.97522,Central,10.0,,1,1,Middle East Wall , Frenchman Coulee 
Kashmir,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121507445/kashmir,2.0,Sport,5.1,1.0,80.0,47.02541,-119.97522,Central,1.0,,1,1,Middle East Wall , Frenchman Coulee 
Psycho Babble,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121507499/psycho-babble,0.0,Trad,5.10a,1.0,80.0,47.02541,-119.97522,Central,10.0,,1,1,Middle East Wall , Frenchman Coulee 
Haboob,Middle East Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/121657967/haboob,2.0,Trad,5.1,1.0,80.0,47.02541,-119.97522,Central,1.0,,1,1,Middle East Wall , Frenchman Coulee 
The Jagged Edge,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106432488/the-jagged-edge,2.3,Sport,5.7,1.0,50.0,47.02333,-119.96875,Central,7.0,,275,53,Zig Zag Wall , Frenchman Coulee 
Orangekist,Zig Zag Wall > Frenchman Coulee > Frenchman Coulee (Vantage) > Central Region > Washington,https://www.mountainproject.com/route/stats/106432502/orangekist,2.1,Sport,5.8,1.0,35.0,47.02333,-119.96875,Central,8.0,,232,55,Zig Zag Wall , Frenchman Coulee 
